说明：来源于http://www.ihp.sinica.edu.tw/~twsung/subject/06/hd.dbf，系台湾为《中国历史地名辞典》编写的索引。原文件编码为big5，缺字部分用pua字代替，需要后期手动还原。
《中国历史地名辞典》为中国大陆复旦大学史地所编写的书，原书使用的是大陆简化字。台湾在编写索引时只是单一地进行了录入，并没有为简繁不对称的字作订正。所以百馀简繁不对称的字仍需要一一校正。比如“后”、“丰”等。因此本文件错讹很多，不宜直接使用。

PLACE	PAGES
一公城	1
一全坞	1
一合坞	1
一秃河	1
一泉坞	1
一迷河	1
一碗泉	1
一鲲身	1
一片石关	1
乙连城	1
乙离骨岭	1
二江	1
二关	1
二京	1
二陕	1
二郢	1
二崤	1
二榆	1
二襄	1
二里冈	1
二里头	1
二林城	1
二祖镇	1
二塘铺	1
二十四陂	1
二十四桥	1
十道	1
十寨	1
十薮	2
十一都	2
十二州	2
十二街	2
十八省	2
十八路	2
十八滩	2
十九州	2
十九路	2
十三山	2
十三州	2
十三省	2
十三都	2
十万山	2
十五省	3
十五道	3
十五路	3
十里陌	3
十里垒	3
十岭山	3
十部县	3
十蓉营	3
十二连城	3
十二里庄	3
十二营寨	3
十八盘岭	3
十三万户	3
十三里桥	3
十五里冈	3
十八先生墓	3
十三刺史部	3
十一行中书省	4
十二关长官司	4
十二营长官司	4
十三布政使司	4
十八寨千户所	4
丁村	4
丁汲镇	4
丁角镇	4
丁家洲	4
丁溪山	4
丁溪城	4
七矶	4
七闽	4
七女津	4
七门郡	4
七门堰	4
七介山	4
七台山	4
七巩墟	4
七级口	4
七里井	4
七里谷	4
七里店	4
七里亭	4
七里涧	5
七里寨	5
七里铺	5
七里濑	5
七贤乡	5
七金山	5
七宝山	5
七宝镇	6
七星冈	6
七星关	6
七星镇	6
七洲洋	6
七格星	6
七盘山	6
七盘关	6
七盘县	6
七源州	6
七溪部	5
七洲洋山	5
七十城门甸	5
七星关后千户所	5
卜奎	5
卜魁	5
卜哈儿	5
卜容营	5
卜颜卫	6
卜剌河卫	6
卜鲁兀卫	6
卜忽秃河卫	6
卜鲁丹河卫	6
八川	6
八水	6
八关	6
八陉	6
八	6
八闽	6
八普	6
八寨	6
八薮	6
八弓铺	6
八王陵	6
八开铺	6
八公山	6
八方泊	6
八尺寨	6
八斥站	6
八达城	7
八关城	7
八米俺	7
八里庄	7
八里坌	7
八里茫	7
八赤镇	7
八角台	7
八角城	7
八角镇	7
八楼	7
八姑荡	7
八房场	7
八峰山	7
八特阪	7
八部山	7
八涧镇	7
八渡墟	7
八叠岭	7
八叠滩	7
八寨厅	7
八鲁弯	7
八激堤	7
八十里山	7
八里水铺	7
八剌沙衮	7
八答黑商	7
八百宣慰司	7
八角千户所	7
八寨长官司	7
八百大甸宣慰司	8
八舟长官蛮夷司	8
八舟军民长官司	8
八番顺元宣慰司	8
人门	8
人头山	8
人和寨	8
人复县	8
儿国	8
几邑	8
九山	8
九川	8
九龙	8
九边	8
九有	8
九曲	8
九江	8
九州	8
九观	8
九围	9
九河	9
九星	9
九囿	9
九原	9
九峰	9
九域	9
九野	9
九薮	9
九山洋	9
九山城	9
九门县	9
九门邑	9
九女关	9
九女原	9
九井山	9
九井镇	9
九支县	9
九日山	9
九龙山	9
九龙乡	9
九龙水	9
九龙县	9
九龙泉	9
九龙渠	9
九龙镇	9
九仙山	9
九老堂	9
九成宫	10
九曲山	10
九曲军	10
九曲城	10
九曲亭	10
九曲渎	10
九曲寨	10
九华山	10
九华宫	10
九羊寨	10
九州石	10
九江村	10
九江府	10
九江国	10
九江郡	10
九阳堡	10
九连山	10
九连城	10
九折	10
九折岩	10
九里山	10
九里关	10
九里村	10
九里邑	10
九里松	10
九里城	10
九陇县	11
九陇郡	11
九杵关	11
九侯山	11
九星洋	11
九宫山	11
九宫岭	11
九洲镇	11
九真县	11
九真郡	11
九原山	11
九原邑	11
九原县	11
九原郡	11
九原站	11
九卿陂	11
九皋山	11
九渡水	11
九道梁	11
九溪卫	11
九嵕山	11
九疑山	11
九德县	11
九德郡	11
九十九冈	11
九十九泉	11
九曲青溪	11
九疑鲁观	12
九姓长官司	12
九垄银铜场	12
九姓罗氏党蛮夷长官千户所	12
乃颜城	12
刀靶水铺	12
力干县	12
三山	12
三川	12
三叉	12
三卫	12
三水	12
三巴	12
三市	12
三台	12
三边	12
三亚	12
三齐	12
三关	13
三危	13
三江	13
三里	13
三吴	13
三沙	14
三阿	14
三陉	14
三陂	14
三迤	14
三河	14
三姓	14
三城	14
三荆	14
三峡	14
三泉	14
三洲	14
三秦	14
三都	14
三晋	14
三桥	15
三亳	15
三辅	15
三崤	15
三赕	15
三湘	15
三楚	15
三蜀	15
三阙	15
三溪	15
三澎	15
三魏	15
三万卫	15
三丈浦	15
三山浦	16
三山街	16
三口浪	16
三川口	16
三川县	16
三川郡	16
三川寨	16
三门山	16
三门县	16
三叉站	16
三乡县	16
三乡城	16
三乡镇	16
三女寨	16
三王城	16
三王陵	16
三元里	16
三屯营	16
三冈县	16
三分山	16
三户山	16
三户城	16
三户津	16
三水县	16
三水镇	17
三龙县	17
三归县	17
三台县	17
三母山	17
三亚港	17
三屿寨	17
三休亭	17
三华镇	17
三合站	17
三会城	17
三危山	17
三交口	17
三交驿	17
三交城	17
三州镇	17
三关镇	17
三江口	17
三江县	17
三江城	17
三江寨	17
三江镇	17
三汲村	17
三汊城	17
三阳寨	17
三防塘	18
三村寨	18
三里圩	18
三里营	18
三县镇	18
三岔坪	18
三岔驿	18
三岔堡	18
三岔寨	18
三角村	18
三角	18
三灶山	18
三沙堡	18
三层岭	18
三陂站	18
三林庄	18
三茅山	18
三贤祠	18
三固山	18
三旺州	18
三垂山	18
三垂冈	18
三阜城	18
三河戍	18
三河尖	18
三河县	18
三河站	18
三河镇	18
三学山	18
三泊县	19
三官堡	19
三弥山	19
三封县	19
三封岭	19
三要镇	19
三垫镇	19
三鸦路	19
三峡桥	19
三界站	19
三界堡	19
三界镇	19
三泉县	19
三亭县	19
三亭邑	19
三洲驿	19
三绛县	19
三都厅	19
三都谷	19
三都汛	19
三原县	19
三峰山	19
三堆城	19
三盘山	19
三章城	20
三渚城	20
三梁邑	20
三路	20
三镇	20
三惠寺	20
三韩县	20
三萼山	20
三堡镇	20
三渡关	20
三游洞	20
三缝县	20
三塘堡	20
三塘铺	20
三砺城	20
三国	20
三涂山	20
三槐堂	20
三寨堡	20
三溪县	20
三藏口	20
三鬷国	20
三鳣堂	20
三衢山	20
三十里铺	20
三天子都	20
三百里滩	20
三合桥堡	21
三江口镇	21
三汊口城	21
三岔口堡	21
三罗骨山	21
三受降城	21
三山千户所	21
三江千户所	21
三河口盐务	21
三音诺颜部	21
三陂地蓬等处长官司	21
干国	21
干城	21
干远州	21
干言山	21
干(干)封县	21
干越亭	21
干越渡	21
干赖赕	21
干隧邑	21
干崖宣抚司	21
于山	22
于中	22
于延水	22
于越国	22
于湖县	22
于塘村	22
于阗国	22
于阗河	22
于阗镇	22
于都斤山	22
亏容甸长官司	22
工塘城	22
工国	22
士乡聚	22
士林城	22
士雅山	22
土山	22
土门	22
土河	23
土楼	23
土山县	23
土门县	23
土门城	23
土木堡	23
土目驿	23
土军县	23
土关隘	23
土坊镇	23
土伯特	23
土坪铺	23
土垠县	23
土桥镇	23
土喇河	23
土鼓县	23
土楼山	23
土墱城	23
土墱寨	23
土壕铺	23
土谢图汗部	23
土谢图汗旗	23
下口	23
下江	23
下岩	24
下邾	24
下土寨	24
下川山	24
下川洲	24
下马陵	24
下历镇	24
下水镇	24
下江厅	24
下阳邑	24
下阴邑	24
下邳县	24
下邳国	24
下邳郡	24
下邑县	24
下沙场	24
下邽县	24
下国邑	24
下迮戍	24
下河寨	24
下泺堰	24
下沱市	24
下城父	24
下封县	24
下草湾	24
下相县	24
下洛县	25
下浒堡	25
下鄀国	25
下桃城	25
下虒亭	25
下县	25
下笮戍	25
下淮戍	25
下淡水	25
下梁城	25
下密县	25
下窑隘	25
下博县	25
下博桥	25
下蒲县	25
下落县	25
下雷州	25
下雷峒	25
下蜀城	25
下雉县	25
下溠县	25
下溪州	25
下蔡县	25
下蔡邑	25
下辨县	26
下辨道	26
下磕城	26
下马关营	26
下天竺寺	26
下石西州	26
下皮林铺	26
下曲阳县	26
下曲阳邑	26
下旺土司	26
下竿塘山	26
下峨桥镇	26
下蔡新城	26
下峒长官司	26
下罗计长官司	26
下爱茶峒长官司	26
大七	26
大山	26
大历	26
大龙	26
大同	26
大关	26
大羊	26
大冲	26
大江	26
大员	26
大甸	26
大陂	26
大旺	26
大金	27
大河	27
大城	27
大峡	27
大界	27
大洞	27
大原	27
大厦	27
大航	27
大陵	27
大	27
大堨	27
大棘	27
大蜑	27
大湖	27
大渡	27
大塘	27
大嵩	27
大鹏	27
大滩	27
大溪	27
大墟	27
大漈	27
大潭	27
大澳	27
大入城	27
大义县	27
大乡县	28
大王山	28
大王镇	28
大历县	28
大木山	28
大化镇	28
大斤山	28
大方城	28
大斗军	28
大末县	28
大石山	28
大石关	28
大石岭	28
大石站	28
大石寨	28
大龙站	28
大东沟	28
大业垒	28
大田县	28
大田站	28
大田镇	28
大由堡	28
大甲溪	28
大仪镇	28
大乐圩	28
大乌墟	28
大头山	28
大宁卫	28
大宁州	29
大宁县	29
大宁府	29
大宁郡	29
大宁监	29
大宁路	29
大宁寨	29
大宁镇	29
大辽水	29
大兰山	29
大寺墟	29
大寺寨	29
大场镇	29
大成县	29
大匡山	29
大屿山	29
大同场	29
大同军	29
大同县	29
大同府	29
大同城	29
大同路	30
大同镇	30
大虫岭	30
大竹县	30
大竹岛	30
大年县	30
大伊镇	30
大华山	30
大行关	30
大行城	30
大会墟	30
大名县	30
大名府	30
大名城	30
大名路	30
大庆关	30
大产村	30
大关厅	30
大江口	30
大池县	30
大兴场	30
大兴县	30
大兴苑	31
大兴府	31
大兴城	31
大兴郡	31
大安山	31
大安州	31
大安军	31
大安里	31
大安县	31
大安府	31
大安郡	31
大安站	31
大安溪	31
大阳山	31
大阳县	31
大阳津	31
大阳桥	31
大观亭	31
大观港	31
大牟县	31
大赤县	31
大甫县	31
大坞城	31
大苏山	32
大苏堡	32
大来谷	32
大步海	32
大岭城	32
大岘山	32
大岘城	32
大足县	32
大邑县	32
大利县	32
大伾山	32
大岔坑	32
大谷关	32
大谷郡	32
大邸阁	32
大冶县	32
大汶口	32
大牢县	32
大良堡	32
大陆村	32
大陆县	32
大陆泽	32
大陈山	32
大陂站	32
大武山	32
大武军	32
大武陇	33
大坨头	33
大坡铺	33
大茂山	33
大林寺	33
大松山	33
大非川	33
大明寺	33
大明宫	33
大明湖	33
大忠祠	33
大昌关	33
大昌县	33
大罗山	33
大固寨	33
大和寨	33
大和堡	33
大狐山	33
大沫崮	33
大店驿	33
大金川	33
大斧山	33
大河卫	33
大泽乡	33
大定戍	33
大定州	33
大定县	33
大定府	33
大宛国	34
大祉澳	34
大房山	34
大房岭	34
大姑岭	34
大姑塘	34
大孤山	34
大胡山	34
大赵镇	34
大城子	34
大城关	34
大城县	34
大要县	34
大厘城	34
大荆寨	34
大荔县	34
大荔国	34
大柳镇	34
大柳庄	34
大昭寺	34
大昭泽	34
大星尖	34
大星澳	34
大辟山	34
大顺城	34
大剑戍	34
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
#眒壶	
大宣乡	35
大室山	35
大姚县	35
大秦寺	35
大埔村	35
大埔县	35
大桥堡	35
大桥镇	35
大桃戍	35
大都县	35
大都城	35
大都路	35
大索城	35
大盐池	35
大夏川	35
大夏州	35
大夏县	35
大夏郡	36
大峰山	36
大峎营	36
大翁铺	36
大奚山	36
大唐峰	36
大涉水	36
大宾县	36
大陵县	36
大陵邑	36
大通卫	36
大通县	36
大通河	36
大通监	36
大通营	36
大通镇	36
大理水	36
大理国	36
大理府	36
大理路	36
大黄里	36
大曹镇	36
大基县	36
大营镇	36
大雪山	36
大野泽	36
大铜山	37
大斛关	37
大庾县	37
大庾岭	37
大庾镇	37
大鹿墩	37
大唐峰	37
大庸卫	37
大望驿	37
大清池	37
大清河	37
大清渠	37
大寅县	37
大梁水	37
大梁城	37
大隍站	37
大隗山	37
大堤城	37
大彭国	37
大获城	37
大落城	37
大雁塔	38
大赉厅	38
大赉县	38
大帽山	38
大黍堡	38
大锅山	38
大皋城	38
大堡津	38
大斌县	38
大港镇	38
大湖山	38
大渡水	38
大渡县	38
大寒岭	38
大寒郡	38
大谢山	38
大谢戍	38
大谢岛	38
大塘汛	38
大楼山	38
大雷山	38
大雷戍	38
大雾山	38
大嵩卫	38
大山	38
大筼筜	38
大筰县	39
大解城	39
大廉山	39
大廉县	39
大寨寅	39
大隧山	39
大隧隘	39
大墩子	39
大横关	39
大横驿	39
大震关	39
大播州	39
大黎里	39
大德营	39
大潭县	39
大潭城	39
大磨山	39
大藤峡	39
大踪湖	39
大镬洲	39
大万寿寺	39
大小榆谷	39
大斗拔谷	39
大宁都司	39
大宁盐场	39
大同左卫	39
大同右卫	40
大佛头山	40
大名府路	40
大连云山	40
大鸡笼山	40
大武郡山	40
大旺土司	40
大金门海	40
大相国寺	40
大庭氏库	40
大莫门城	40
大峨眉山	40
大钱湖口	40
大徐巷镇	40
大副将沟	40
大黄江口	40
大落门寨	40
大普恩寺	40
大湖银场	40
大湾川堡	40
大富铅场	40
大漫天寨	40
大演银场	41
大山千户所	41
大田千户所	41
大同山银场	41
大同中屯卫	41
大华长官司	41
大坝都总管	41
大旺安抚司	41
大金千户所	41
大宛都督府	41
大城千户所	41
大侯长官司	41
大庸千户所	41
大嵩千户所	41
大鹏千户所	41
大万山长官司	41
大龙番长官司	41
大平伐长官司	41
大延寿甘露寺	41
大金川安抚司	41
大渡河千户所	41
大漠州都督府	41
大万谷乐总管府	41
大小化等处长官司	41
大龙番应天府安抚司	42
大青山骨记等处长官司	42
大万山苏葛办等处长官司	42
万山	42
万丹	42
万州	42
万县	42
万郡	42
万川县	42
万川郡	42
万户谷	42
万世观	42
万世县	42
万世郡	42
万石城	42
万仞关	42
万仞寨	42
万宁寨	42
万岁山	42
万岁县	43
万岁亭	43
万岁楼	43
万岁镇	43
万年尹	43
万年州	43
万年县	43
万年宫	43
万全县	43
万全郡	43
万安山	43
万安州	43
万安军	43
万安县	43
万安驿	44
万安郡	44
万安桥	44
万安寨	44
万安镇	44
万寿县	44
万寿宫	44
万寿桥	44
万寿殿	44
万寿镇	44
万里沙	44
万里桥	44
万形州	44
万村市	44
万佛峡	44
万松县	44
万松亭	44
万顷池	44
万承州	44
万承县	44
万春山	45
万春圩	45
万春县	45
万春城	45
万荣郡	45
万泉县	45
万胜堆	45
万胜镇	45
万卷阁	45
万载场	45
万载县	45
万铜山	45
万斛堆	45
万涯州	45
万善城	45
万德州	45
万岁岭镇	45
万全左卫	45
万全右卫	45
万里长沙	45
万里石床	46
万里石塘	46
万安千户所	46
万全都指挥使司	46
兀丹	46
兀失卫	46
兀者卫	46
兀的河	46
兀剌孩	46
兀剌海	46
兀惹城	46
兀也吾卫	46
兀列河卫	46
兀良海牙	46
兀者左卫	46
兀者右卫	46
兀者后卫	46
兀的河卫	46
兀的剌儿	46
兀泷古河	46
兀剌忽卫	46
兀剌海路	46
兀提剌耳	46
兀答剌儿	46
兀者托温千户所	46
兀者吉烈迷万户府	47
兀者揆野木千户所	47
兀者稳勉赤千户所	47
寸金淀	47
弋阳江	47
弋阳县	47
弋阳郡	47
弋居县	47
上州	47
上江	47
上县	47
上京	47
上闸	47
上保	47
上洛	47
上郡	47
上都	47
上梅	47
上湖	47
上雒	47
上缭	48
上川山	48
上川洲	48
上川郡	48
上马县	48
上马河	48
上元县	48
上勾隘	48
上方寺	48
上水关	48
上艾县	48
上龙州	48
上东门	48
上平关	48
上甲县	48
上甲郡	48
上白城	48
上兰观	48
上兴埠	48
上阳邑	48
上阳宫	48
上那蚌	48
上坑	48
上谷郡	48
上犹场	48
上犹县	48
上邽县	49
上坪寨	49
